iso	alternate names	affiliation	affiliation-HH	country	dialects	language status	language use	location	population numeric	typology	writing
aaa	NA	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Edoid, North-Central, Ghotuo-Uneme-Yekhee	Atlantic-Congo, Volta-Congo, Benue-Congo, Akpes-Edoid, Edoid, North-Central Edoid, Afenmai-Bendel	Nigeria	NA	6a (Vigorous).	NA	Edo State, Owan East LGA, Ogbodo.	9000	NA	NA
aab	Alumu, Arum-Cesu, Arum-Chessu, Arum-Tesu	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Alumic	Atlantic-Congo, Volta-Congo, Benue-Congo, Benue-Congo Plateau, Alumic, Alumu-Toro, Alumu-Akpondu	Nigeria	Alumu (Arum), Tesu. Related to Toro [tdv]. The 2 dialects have only intonation differences.	6a (Vigorous).	All ages.	Nassarawa State, Akwanga LGA, near Wamba. Alumu dialect in 7 villages; Tesu in 1.	7000	NA	NA
aac	NA	Trans-New Guinea, Gogodala-Suki, Gogodala	Suki-Gogodala, Gogodalic	Papua New Guinea	Serea.	6b (Threatened).	Also use Gogodala [ggw].	Western Province, Aramia river area, Ari and Serea villages.	50	NA	Latin script.
aad	Alai	Sepik, Iwam	Sepik, Amal	Papua New Guinea	NA	6a (Vigorous).	NA	Sandaun Province, on Wagana river, near confluence with Wanibe creek.	830	NA	NA
aae	"Arb\""eresh\""e"	Indo-European, Albanian, Tosk	Indo-European, Albanian, Albanian-Tosk	Italy	Calabrian Albanian, Campo Marino Albanian, Central Mountain Albanian, Molise Albanian, Sicilian Albanian. Speakers say 4 Italian dialects not mutually inherently intelligible. Lexical similarity45% with Tosk Albanian [als].	6b (Threatened).	Strong position in some districts. Taught in some schools. No official status. Home. In some places there may be children learning the language but many stop using it at school age (2007). Also use Italian [ita] and regional Italian varieties.	South; Calabria, Apulia, Basilicata, Molise, Sicily.	100000	NA	Greek script, no longer in use. Latin script.
aaf	Aranatan, Eranadans	Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Malayalam	Dravidian, South Dravidian, South Dravidian I, Tamil-Kannada, Tamil-Kota, Tamil-Toda, Tamil-Kodagu, Tamil-Malayalam, Malayalamoid	India	Lexical similarity63%-69% with Malayalam [mal], 53%-55% with Tamil [tam].	6b (Threatened).	Vitality in Malappuram District questionable due to small population, no separate settlements, living with Malayalis. Low education level helps keep language stable. Home, village. Negative attitudes. Most have at least basic proficiency in Malayalam [mal], which is used in all the same domains as Aranadan.	Kerala, Kozhihkode district, Ernad taluk; Palakkad district; Malappuram district, Nilambur tahsil; Tamil Nadu, Karnataka.	200	NA	NA
aag	NA	Torricelli, Wapei-Palei, Palei	Nuclear_Torricelli, Wapei-Palei, Yangum-Ambrak	Papua New Guinea	NA	6a (Vigorous).	NA	Sandaun Province, Nuku district.	290	NA	NA
aah	Ua	Torricelli, Kombio-Arapesh, Arapesh	Nuclear_Torricelli, Arapesh, Mufian-Bukiyip-Abu, Bukiyip-Abu	Papua New Guinea	Matapau.	6b (Threatened).	In the northern villages, Abu' is being replaced in most domains of language use by Tok Pisin [tpi]. Tok Pisin is the predominant language for 40% of the youth. Positive attitudes.	Sandaun Province, Aitape district, East Aitape Rural LLG, wards 23, 24, 25; East Sepik Province, Maprik district, Mablep Rural LLG, ward 8.	2560	NA	NA
aai	Miniafia-Arifama	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, North Papuan Mainland-D'Entrecasteaux, Are-Taupota, Are	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D'Entrecasteaux linkage, Are-Taupota linkage, Are linkage	Papua New Guinea	Arifama, Miniafia. Lexical similarity39% with Ubir [ubr].	5 (Developing).	Also use English [eng], Motu [meu], or neighboring languages.	Oro Province, Tufi district, Cape Nelson and Collingwood Bay, 4 coastal locations. 20 to 25 villages.	3470	SOV	Latin script.
aak	Angave	Trans-New Guinea, Angan, Nuclear Angan	Angan, Southwest Angan	Papua New Guinea	Ankai, Bu'u, Miyatnu, Sawuve, Wiyagwa, Wunavai.	5 (Developing).	NA	Gulf Province, Kerema district, valleys of Mbwei and Swanson rivers.	1600	NA	Latin script.
