iso	lang	lat	area	language	glottocode
bvn	144.11929	-3.95553	Papua	Buna	buna1277
bvm	10.51269	6.00203	Africa	Bamunka	bamu1256
qvs	-76.6608	-6.9582	South America	San Martin Quechua	sanm1289
NOCODE_Binahari-Ma			Papua	Binahari-Ma	bina1274
suv	92.35574	27.65889	Eurasia	Eastern Puroik	sulu1241
quh	-66.333145	-20.920095	South America	South Bolivian Quechua	sout2991
NOCODE_Apoto			South America	Apoto	apot1235
evh	5.77303	5.44263	Africa	Uvbie	uvbi1238
trh	149.56671	-9.83576	Papua	Turaka	tura1265
trj	19.52541	11.20271	Africa	Toram	tora1267
trm	70.96173	34.75482	Eurasia	Tregami	treg1243
trl	-4.38593	55.98292	Eurasia	Traveller Scottish	trav1235
evn	108.625523333	53.85003	Eurasia	Evenki	even1259
trn	-65.40956	-15.33313	South America	Trinitario-Javeriano-Loretano	trin1274
tra	69.59007	34.17924	Eurasia	Tirahi	tira1253
trc	-97.98262	17.15414	North America	Copala Triqui	copa1237
trb	143.83467	-3.68721	Papua	Terebu	tere1276
tre	134.2884	-6.76213	Papua	East Tarangan	east2465
eve	130.91417	70.6687	Eurasia	Even	even1260
trg	47.0	38.0	Eurasia	Lishan Didan	lish1246
trf	-61.41713	10.4208	North America	Trinidadian Creole English	trin1276
try	92.26757	26.34412	Eurasia	Turung	turu1249
trx	109.94987	1.4313	Papua	Tringgus-Sembaan Bidayuh	trin1271
trz	-61.74165	-6.19532	South America	Tora	tora1263
trq	-97.92019	17.24284	North America	San Martin Itunyoso Triqui	sanm1298
trp	91.46733	23.19156	Eurasia	Kok Borok	kokb1239
trs	-97.85471	17.16278	North America	Chicahuaxtla Triqui	chic1273
trr	-75.5603	-3.22497	South America	Taushiro	taus1253
tru	42.1451033333	37.22746	Eurasia	Turoyo	turo1239
trt	135.55117	-3.37462	Papua	Tunggare	tung1293
trw	72.53165	35.31014	Eurasia	Torwali	torw1241
trv	121.35776	23.90324	Papua	Seediq	taro1264
tdk	9.32836	9.36039	Africa	Tambas	tamb1267
tdj	120.00958	-0.31553	Papua	Tajio	taji1246
odt			Eurasia	Old Dutch-Old Frankish	oldd1237
tdi	121.94366	-2.56493	Papua	Tomadino	toma1248
tdh	87.60628	27.538895	Eurasia	Thulung	thul1246
tdo	11.38936	8.74437	Africa	Teme	teme1252
ues	122.95138	-4.99012	Papua	Kioko	kiok1239
tdn	124.96386	1.28024	Papua	Tondano	tond1251
NOCODE_Mwesa			Africa	Mwesa	mwes1234
tdl	9.49007	9.47958	Africa	Sur	surr1238
lea	27.14236	-3.83196	Africa	Lega-Shabunda	lega1249
leb	30.229725	-12.94501	Africa	Lala-Bisa	lala1264
lec	-67.88181	-15.00921	South America	Leco	leco1242
led	30.67945	2.189795	Africa	Lendu	lend1245
lee	-2.59229	12.4305	Africa	Lyele	lyel1241
lef	0.50746	7.34549	Africa	Lelemi	lele1264
leg	-58.90528	-22.65586	South America	NA	NA
leh	28.25808	-14.71918	Africa	Lenje	lenj1248
lei	146.44079	-5.61407	Papua	Lemio	lemi1243
lej	25.33434	-1.95874	Africa	Lengola	leng1258
lek	147.22622	-1.9665	Papua	Leipon	leip1237
lel	20.56739	-4.94672	Africa	Lele (Democratic Republic of Congo)	lele1265
lem	10.91566	4.5893	Africa	Nomaande	noma1260
len	-88.042225	13.927755	North America	Lenca	lenc1244
leo	11.40498	4.57457	Africa	Leti (Cameroon)	leti1245
lep	88.5725866667	27.0869	Eurasia	Lepcha	lepc1244
leq	143.89062	-4.99504	Papua	Lembena	lemb1266
ler	147.74163	-2.33367	Papua	Lenkau	lenk1247
les	29.29185	1.8798	Africa	Lese	lese1243
let	150.5058	-6.19889	Papua	Lesing-Gelimi	lesi1239
leu	151.11092	-2.81957	Papua	Kara (Papua New Guinea)	kara1486
lev	124.05661	-8.52787	Papua	Western Pantar	lamm1241
lew	120.13229	-1.03033	Papua	Ledo Kaili	ledo1238
lex	127.94433	-8.18378	Papua	Luang	luan1263
ley	120.27028	-2.63313	Papua	Lemolang	lemo1243
lez	47.89507	41.51572	Eurasia	Lezgian	lezg1247
tdd	99.722045	21.7836725	Eurasia	Tai Nua	tain1252
ctt			Eurasia	Wayanad Chetti	waya1264
ctu	-92.46983	17.48965	North America	Chol	chol1282
ctp	-97.32436	16.2495	North America	Western Highland Chatino	west2644
cts	124.27041	13.90317	Papua	Northern Catanduanes Bicolano	nort2883
tdy	121.30537	13.02115	Papua	Tadyawan	tady1237
ctz	-97.3069	16.07998	North America	Zacatepec Chatino	zaca1242
ctd	93.518975	23.60789	Eurasia	Tedim Chin	tedi1235
cte	-96.14331	17.66507	North America	Tepinapa Chinantec	tepi1241
ctg	93.1695	20.831	Eurasia	Chittagonian	chit1275
cta	-97.53112	16.29628	North America	Tataltepec Chatino	tata1258
ctc	-124.37588	42.68637	North America	Chetco	chet1237
ctl	-96.51764	17.8646	North America	Tlacoatzintepec Chinantec	tlac1239
ctm	-90.91232	30.33861	North America	Chitimacha	chit1248
ctn	87.18994	26.96099	Eurasia	Chintang	chhi1245
cto	-76.74761	7.52721	South America	Embera-Catio	embe1260
cti			North America	Chol, Tila	chol1285
sgx	-13.235	8.483	Africa	Sierra Leone Sign Language	sier1246
sgz	152.76834	-3.99078	Papua	Sursurunga	surs1246
sgp	95.606	27.296	Eurasia	Northern Jinghpaw	sing1264
sgr	53.3	35.72	Eurasia	Sangisari	sang1315
sgu	130.5302	-3.14654	Papua	Salas	sala1269
sgt	91.99717	27.34381	Eurasia	Brokpake	brok1248
sgw	37.98907	8.11879	Africa	Sebat Bet Gurage	seba1251
sgi	12.37786	7.12906	Africa	Nizaa	suga1248
sgh	71.79251	37.501785	Eurasia	Shughni	shug1248
sgk	100.77	21.64	Eurasia	Sangkong	sang1320
sgm	33.89965	-0.24587	Africa	Singa	sing1266
sgl	71.67426	36.635405	Eurasia	NA	NA
sgo	26.01597	-4.01205	Africa	Songa	song1304
tdr	108.11401	14.5672	Eurasia	Todrah	todr1244
sga			Eurasia	Early Irish	oldi1245
sgc	35.258532	-0.35774	Africa	Kipsigis	kips1239
sgb	120.45949	15.19541	Papua	Mag-Anchi Ayta	maga1263
sge	116.95439	1.97695	Papua	Segai	sega1243
nml	10.21966	4.58061	Africa	Ndemli	ndem1249
sgg	9.07557	47.10693	Eurasia	Swiss-German Sign Language	swis1240
ziw	38.41138	-5.61864	Africa	Zigula-Mushungulu	zigu1244
zir	8.72792	10.52184	Africa	NA	NA
ziz	13.523335	10.468925	Africa	Zizilivakan	zizi1238
tdv	8.58194	9.09143	Africa	Toro	toro1249
zib	31.02158	-17.91276	Africa	Zimbabwe Sign Language	zimb1247
tdu	116.54476	6.36389	Papua	NA	NA
zia	147.57935	-7.95814	Papua	Zia	ziaa1250
zin	32.17547	-2.64132	Africa	Zinza	zinz1238
zil	-9.51	8.43	Africa	Zialo	zial1235
tdt	125.58265	-8.58405	Papua	Tetun Dili	tetu1246
zik	141.45194	-7.3701	Papua	Zimakani	zima1244
pfa	152.2373	8.60286	Papua	Paafang	paaf1237
dza	10.21664	9.42456	Africa	Tunzu	tunz1235
pfe	12.25182	7.821855	Africa	Peere	peer1241
pfl	6.846	49.701	Eurasia	Pfaelzisch-Lothringisch	pala1330
xcl			Eurasia	Classical-Middle Armenian	clas1249
dze				Djiwarli	djiw1241
dzd	10.48652	10.11845	Africa	Daza	daza1244
xcv			Eurasia	Chuvantsy	chuv1256
NOCODE_Payagua	-57.857666	-25.694998	South America	Payagua	paya1236
xcc			Eurasia	Camunic	camu1235
xcg			Eurasia	Cisalpine Gaulish	cisa1237
xce			Eurasia	Celtiberian	celt1247
xch			North America	Chimakum	chim1310
xcn	-97.39563	25.911609	North America	Cotoname	coto1248
xco			Eurasia	Khwarezmian	khwa1238
NOCODE_Wagu			Papua	Wagu	wagu1234
xcm	-98.4666666667	26.1333333333	North America	Comecrudan	come1251
xcr			Eurasia	Carian	cari1274
NOCODE_Tiverighotto	-62.515411	10.102185	South America	Tiverighotto	tive1236
xcw	-97.890015	28.258909	North America	Coahuilteco	coah1252
xct			Eurasia	Classical Tibetan	clas1254
dzn	19.00221	2.24195	Africa	Dzando	dzan1238
NOCODE_Basum			Eurasia	Basum	basu1243
NOCODE_Port-Sorell	146.559906	-41.188369	Australia	Port Sorell	port1278
xcy	-117.940064	46.113611	North America	Cayuse	cayu1241
npl	-97.12655	18.39688	North America	Nahuatl, Southeastern Puebla	sout2973
npo	94.11187	25.44785	Eurasia	Pochuri Naga	poch1243
npn	146.93094	-2.01359	Papua	Mondropolon	mond1265
npi			Eurasia	Nepali	nepa1254
nph	94.74761	26.47146	Eurasia	Phom Naga	phom1236
npa	84.22852	28.76714	Eurasia	Nar Phu	narp1239
afn	7.50186	4.58451	Africa	Defaka	defa1248
npb	90.53395	27.43007	Eurasia	Nupbikha	nupb1238
npy	120.33786	-1.43707	Papua	Napu	napu1241
npu	93.73443	25.29726	Eurasia	Puimei Naga	puim1234
nps	139.75323	-4.14421	Papua	Nipsan	nips1240
gcd	139.42637	-17.54458	Australia	Ganggalida	gang1267
mjd	-121.36786	39.67211	North America	Northwest Maidu	nort2951
mje	15.41126	11.5697	Africa	Muskum	musk1256
mjg	102.11749	36.8177	Eurasia	Mongghul	huzh1238
mja	100.0166	21.65584	Eurasia	Mahei	mahe1238
mjc	-97.92788	16.39642	North America	San Juan Colorado Mixtec	sanj1281
mjl	77.04187	31.5425	Eurasia	Mandeali	mand1409
mjm	145.42468	-4.49918	Papua	Medebur	mede1237
mjn	146.3638	-5.73869	Papua	Ma (Papua New Guinea)	mapa1244
mjo	77.09301	8.45063	Eurasia	Malankuravan	mala1459
mjh	34.89592	-11.33042	Africa	Mwera (Nyasa)	mwer1247
mji	105.024396667	22.9856066667	Eurasia	Kim Mun	kimm1245
mjj	145.28314	-4.61817	Papua	Mawak	mawa1266
mjk	145.77862	-4.9078	Papua	Matukar	matu1261
mjt	87.64317	24.81236	Eurasia	Sauria Paharia	saur1249
mju	83.1908	18.2775	Eurasia	NA	NA
mjv	76.97	9.85	Eurasia	Mannan	mann1246
mjw	93.04624	25.7317	Eurasia	Hills Karbi	karb1241
mjp	77.27197	8.59225	Eurasia	Malapandaram	mala1468
mjq	76.55856	10.44682	Eurasia	Malaryan	mala1466
mjr	77.20382	8.85517	Eurasia	Malavedan	mala1463
mjs	9.33752	9.20477	Africa	Miship	mish1244
mjx	86.74451	22.1698	Eurasia	Mahali	maha1291
mjy	-74.266	43.903	North America	Mohican	mahi1248
mjz	80.37881	29.45587	Eurasia	Majhi	majh1253
vml	114.245	-26.211	Australia	Malgana	malg1242
vmm	-97.17573	17.16002	North America	Mitlatongo Mixtec	mitl1235
vmj	-97.57591	16.57738	North America	Ixtayutla Mixtec	ixta1235
vmk	36.52488	-14.25105	Africa	Makhuwa-Shirima	makh1260
vmh	49.9665	36.82593	Eurasia	Maraghei	mara1373
vmi	126.9212	-14.34845	Australia	Miwa	miwa1242
vmf	8.621	50.005	Eurasia	Ostfrankisch	main1267
vmg	152.0052	-4.31803	Papua	Minigir	mini1251
vmd	75.10613	12.62244	Eurasia	Mudu Koraga	mudu1241
vme	129.87322	-8.13455	Papua	East Masela	east2462
vmb	143.43797	-20.13889	Australia	Mbabaram	mbab1239
vmc	-98.01463	17.3518	North America	Juxtlahuaca Mixtec	juxt1235
vma	116.6074	-20.92944	Australia	Martuthunira	mart1255
vmz	-96.88892	18.08289	North America	Mazatlan Mazatec	maza1296
vmx	-97.09983	17.12577	North America	Tamazola Mixtec	tama1339
vmy	-96.59516	18.0993	North America	Ayautla Mazatec	ayau1235
vmv	-121.19078	39.80783	North America	Valley Maidu	vall1252
vmw	38.80519	-14.85088	Africa	Makhuwa	makh1264
vmu	145.329	-17.06013	Australia	Muluridyi	mulu1243
vmr	35.7425	-16.21286	Africa	Marenje	mare1260
vms	128.654	-3.098	Papua	Moksela	moks1249
vmp	-96.49456	18.28675	North America	Soyaltepec Mazatec	soya1237
vmq	-97.19211	17.55605	North America	Soyaltepec Mixtec	soya1236
lzz	41.909645	41.50039	Eurasia	Laz	lazz1240
NOCODE_Duit	-73.021374	5.786798	South America	Duit	duit1239
lzh			Eurasia	Literary Chinese	lite1248
lzl	167.41511	-16.13309	Papua	Naman	litz1237
lzn			Eurasia	Leinong Naga	lein1237
kpp	97.12034	18.81375	Eurasia	NA	NA
kpq	139.67832	-4.53497	Papua	Korupun-Sela	koru1245
kpr	149.26655	-9.07	Papua	Korafe-Yegha	kora1294
kps	131.98485	-1.51049	Papua	Tehit	tehi1237
kpt	46.31511	42.65005	Eurasia	Karata-Tukita	kara1474
kpu	124.44624	-8.36572	Papua	Kafoa	kafo1240
kpv	54.94599	64.05268	Eurasia	Komi-Zyrian	komi1268
kpw	144.45995	-5.16446	Papua	Kobon	kobo1249
kpx	147.38403	-9.06973	Papua	Mountain Koiali	moun1252
kpy	166.69474	63.89771	Eurasia	Koryak	kory1246
kpz	34.59914	1.33197	Africa	Kupsabiny	kups1238
kpa	11.49535	10.70744	Africa	Kutto	kutt1236
kpb	76.7	11.29	Eurasia	Mullu Kurumba	mull1244
kpc	-67.50277	0.69618	South America	Curripaco	curr1243
kpd	134.60959	-6.47901	Papua	Koba	koba1240
kpf	147.27997	-6.16163	Papua	Komba	komb1273
kpg	154.67	1.0	Papua	Kapingamarangi	kapi1249
kph	-0.80295	8.06653	Africa	Kplang	kpla1238
kpi	136.7902	-2.33349	Papua	Kofei	kofe1239
kpj	-50.34918	-11.18812	South America	Karaja	kara1500
kpk	10.16422	7.58343	Africa	Kpan	kpan1246
kpl	20.31083	4.51093	Africa	Kpala	kpal1241
kpm	108.05721	11.64436	Eurasia	Koho	koho1244
kpn	-61.246	-11.663	South America	Kepkiriwat	kepk1241
kpo	0.83312	7.44776	Africa	Ikposo	ikpo1238
NOCODE_Lianmin-Yao			Eurasia	Lianmin Yao	lian1256
NOCODE_Kawarrang-Ogh-Undjan			Australia	Kawarrang-Ogh Undjan	kawa1290
NOCODE_Poya			South America	Poya	poya1239
dgc	121.87821	16.2176	Papua	Casiguran-Nagtipunan Agta	casi1235
NOCODE_Mangree			Africa	Mangree	mang1422
ihp	132.27102	-2.81013	Papua	Iha	ihaa1241
ihw			Australia	Birrdhawal	gana1268
ihi	6.08581	7.00917	Africa	Ihievbe	ihie1238
ihb	132.294	-2.935	Papua	Iha-based Pidgin	ihab1241
NOCODE_Manao	-60.107117	-3.199203	South America	Manao	mana1299
NOCODE_Agbirigba			Africa	Agbirigba	agbi1234
cke			North America	Kaqchikel, Eastern	kaqc1273
ckd			North America	Kaqchikel, South Central	kaqc1272
ckf			North America	Kaqchikel, Southern	kaqc1274
cka	93.3656	20.52265	Eurasia	Khumi Awa Chin	khum1250
ckc			North America	Kaqchikel, Northern	kaqc1275
ckb	45.807735	35.653865	Eurasia	Central Kurdish	cent1972
ckl	12.90198	10.89767	Africa	Cibak	ciba1236
cko	0.56021	10.2838933333	Africa	Anufo	anuf1239
cki			North America	Kaqchikel, Santa Maria de Jesus	kaqc1276
ckh	92.595285	21.413375	Eurasia	Chak	chak1270
ckk			North America	Kaqchikel, Akatenango Southwestern	kaqc1277
ckj			North America	Kaqchikel, Santo Domingo Xenacoj	kaqc1278
cku	-92.70902	30.40957	North America	Koasati	koas1236
ckt	170.04503	68.64356	Eurasia	Chukchi	chuk1273
ckw			North America	Kaqchikel, Western	kaqc1279
ckv	121.64463	24.69475	Papua	Kavalan	kava1241
ckq	20.87897	12.24917	Africa	Kajakse	kaja1254
cks	166.54637	-22.22768	Papua	Tayo	tayo1238
ckr	151.98005	-4.46941	Papua	Kairak	kair1267
cky	9.16071	9.00924	Africa	Cakfem-Mushere-Jibyal	cakf1236
ckx	9.77746	6.26979	Africa	Caka	caka1240
ckz	-90.69885	14.6467	North America	Cakchiquel-Quiche Mixed Language	cakc1235
dbi	7.96099	10.22873	Africa	Doka	doka1242
dbj	118.51493	5.29059	Papua	Ida'an	idaa1241
dbm	10.21664	9.42456	Africa	Duguri	dugu1249
dbl	145.5442	-17.45162	Australia	Dyirbal	dyir1250
dbo	9.94759	10.19107	Africa	Dulbu	dulb1238
dbn	130.92525	-1.38946	Papua	Duriankere	duri1243
dba	-3.77092	14.81163	Africa	Bangime	bang1363
szc	102.81572	4.1217	Eurasia	Semaq Beri	sema1265
dbb	10.43937	10.63147	Africa	Deno	deno1239
dbe	139.11609	-2.05082	Papua	Dabe	dabe1239
dbd	11.35868	9.62705	Africa	Dadiya	dadi1249
dbg	-3.56855	14.58719	Africa	Dogul Dom Dogon	dogu1235
sze	34.64486	9.50764	Africa	Seze	seze1235
dby	142.77883	-7.82096	Papua	Dibiyaso	dibi1240
dbq	13.631775	10.35215	Africa	Daba	nucl1683
dbp	11.33668	12.80297	Africa	Duwai	duwa1244
szp	132.15658	-2.07971	Papua	Suabo	suab1238
dbr	43.33041	1.2179	Africa	Dabarre	daba1260
dbu	-3.32636	14.90665	Africa	Najamba-Kindige	bond1248
szw	128.08564	0.51111	Papua	Sawai	sawa1247
dbw			Africa	Bankan Tey Dogon	bank1259
dbv	8.19543	10.50427	Africa	Dungu	dung1254
xvi	70.0	30.0	Eurasia	NA	NA
jaz	164.67594	-20.66477	Papua	Jawe	jawe1237
jax	103.12993	-2.6469	Papua	Jambi Malay	jamb1236
jay	134.87665	-12.08531	Australia	Nhangu	yann1237
jav	110.884843333	-0.572306666667	Papua	Javanese	java1254
NOCODE_Gangou			Eurasia	Gangou	gang1272
jat	68.611035	36.001755	Eurasia	Inku	jaka1245
jau	134.87891	-3.32519	Papua	Yaur	yaur1239
jar	10.21664	9.42456	Africa	Jarawa (Nigeria)	jara1263
jas	166.4449	-22.3001	Papua	New Caledonian Javanese	newc1244
jaq	139.24945	-6.66632	Papua	Yaqay	yaqa1246
jan				NA	NA
jao	136.05506	-15.76212	Australia	Yanyuwa	yany1243
jal	129.31549	-3.3619	Papua	Yalahatan-Haruru-Awaiya	yala1266
jam	-77.2612	18.13	North America	Jamaican Creole English	jama1262
jaj	159.25532	-8.18719	Papua	Zazao	zaza1245
jak	103.34214	2.64582	Eurasia	Jakun	jaku1244
jah	102.2913	3.67619	Eurasia	Jah Hut	jahh1242
jai			North America	Jakalteko, Western	jaka1246
jaf	11.70359	10.52325	Africa	Jara	jara1274
jad	-12.726175	11.5399	Africa	Jahanka	jaha1245
jae	147.80997	-6.67052	Papua	Yabem	yabe1254
jab	7.95163	9.37832	Africa	Hyam	hyam1245
jac	-91.66327	15.66095	North America	Popti'	popt1235
jaa	-66.56619	-7.62223	South America	Madi	jama1261
NOCODE_Sapara	-61.580544	3.433437	South America	Sapara	sapa1254
gbf	143.13858	-4.01718	Papua	Gaikundi	gaik1242
gbg	20.26086	4.68467	Africa	Gbanziri-Boraka	gban1258
gbd	122.33401	-18.6771	Australia	Karadjeri	kara1476
gbe	142.45009	-4.82581	Papua	Niksek	niks1238
gbb	133.60153	-21.58444	Australia	Kaytetye	kayt1238
gbc			Australia	NA	NA
aew	144.28479	-4.23181	Papua	Ambakich	amba1269
gbn	29.73546	6.1463	Africa	Mo'da	moda1242
gbo	-8.1409	5.17103	Africa	Northern Grebo	nort2810
gbl	73.68388	21.06965	Eurasia	Gamit	gami1242
gbm	78.72009	30.50606	Eurasia	Garhwali	garh1243
gbj	82.77099	18.38575	Eurasia	Bodo Gadaba	bodo1267
gbk	76.57127	32.35998	Eurasia	Gaddi	gadd1242
gbh	2.68609	6.40718	Africa	Defi Gbe	defi1235
gbi	128.44015	2.31461	Papua	Galela	gale1259
gbv	17.38868	5.28183	Africa	Gbanu	gban1260
gbw				Kabikabi	kabi1260
aec	30.53016	25.41322	Africa	Saidi Arabic	said1239
gbu	132.64324	-12.51761	Australia	Gaagudju	gaga1251
gbr	6.90495	9.29842	Africa	Gbagyi	gbag1258
gbs	2.0269	6.55911	Africa	Gbesi Gbe	gbes1238
gbp	17.64498	6.61896	Africa	Gbaya-Bossangoa	gbay1287
gbq	16.46427	5.9879	Africa	Gbaya-Bozoum	gbay1286
aek	164.86922	-21.0735	Papua	Haeke	haek1239
gbz	54.44689	31.8161	Eurasia	Zoroastrian Yazdi	zoro1242
ael	9.62028	5.94043	Africa	Ambele	ambe1247
gbx	2.54987	6.37803	Africa	Eastern Xwla Gbe	east2390
gby	7.10757	8.46411	Africa	Gbari	gbar1246
btu	10.93773	6.81588	Africa	Batu	batu1255
btt	9.20189	6.62037	Africa	Bete-Bendi	bete1262
btw	125.41841	8.87009	Papua	Butuanon	butu1244
btv	74.96517	33.996385	Eurasia	Bateri	bate1261
btq	102.38206	4.8223	Eurasia	Batek	bate1262
btp	153.68914	-9.29802	Papua	Budibud	budi1249
bts	98.90834	3.04372	Papua	Batak Simalungun	bata1288
btr	168.15868	-15.25738	Papua	Baetora	baet1237
bty	130.17925	-3.43514	Papua	Bobot	bobo1254
btx	98.25166	2.12787	Papua	Batak Karo	bata1293
btz	97.81235	3.4293	Papua	Batak Alas-Kluet	bata1292
bte	9.24843	10.93457	Africa	Gamo-Ningi	gamo1241
btd	98.24269	2.51438	Papua	Batak Dairi	bata1294
btg	-5.9701	6.10051	Africa	Gagnoa Bete	gagn1235
btf	19.81819	12.02281	Africa	Birgit	birg1239
bta	12.676965	9.68091	Africa	Bata	bata1314
NOCODE_Colima			South America	Colima	coli1235
btc	11.0591	4.25573	Africa	Bati (Cameroon)	bati1251
btb	11.68962	3.22265	Africa	Beti (Cameroon)	beti1250
btm	99.89803	0.85805	Papua	Batak Mandailing	bata1291
btl	80.84201	22.7174	Eurasia	Bhatola	bhat1237
bto	123.3307	13.38959	Papua	Iriga Bicolano	irig1242
btn	121.18703	12.27848	Papua	Ratagnon	rata1245
bti	136.03841	-2.79301	Papua	Burate	bura1276
bth	110.253925	1.175965	Papua	Biatah Bidayuh	biat1246
btj	127.49047	-0.62275	Papua	Bacanese Malay	baca1243
etr	142.65007	-6.11618	Papua	Edolo	edol1239
ets	6.44919	7.10204	Africa	Yekhee	yekh1238
tlq	100.985135	21.429325	Eurasia	Muak	tail1246
tlp	-97.59312	20.14152	North America	Filomeno Mata Totonac	filo1235
tlw	128.54706	-3.29102	Papua	South Wemale	sout2892
tlv	124.86921	-1.79516	Papua	Taliabu	tali1262
tlu	128.31046	-3.57785	Papua	Tulehu	tule1244
tlt	129.66284	-3.2969	Papua	Teluti	telu1263
etz	134.45355	-3.71553	Papua	Semimi	semi1264
tlz			Papua	Toala'	toal1234
etx	8.61443	9.73073	Africa	Eten	eten1239
tlx	146.74577	-2.06626	Papua	Khehek	kheh1237
etb	7.97357	4.79059	Africa	Etebi	eteb1238
tlb	128.15361	1.0946	Papua	Tobelo	tobe1252
tla	-104.68847	23.25534	North America	Southwestern Tepehuan	sout2977
tlg	140.59074	-3.74322	Papua	Tofanma	tofa1246
tlf	141.73053	-5.07444	Papua	Telefol	tele1256
tld	126.79467	4.11846	Papua	Talaud	tala1285
tlk	122.87168	-4.6478	Papua	Taloki	talo1252
tlj	29.949415	0.676185	Africa	Talinga-Bwisi	tali1258
eth	38.85339	8.9761	Africa	Ethiopian Sign Language	ethi1238
etn	168.54926	-17.73995	Papua	Eton (Vanuatu)	eton1255
eto	11.39348	4.21045	Africa	Eton-Mengisa	eton1253
tlm	166.7723	-15.15686	Papua	Tolomako	tolo1255
tll	24.54596	-4.29314	Africa	Tetela	tete1250
omx			Eurasia	Old Mon	oldm1242
NOCODE_Ben-Lomond-Cape-Portland	147.787122	-41.326418	Australia	Ben-Lomond-Cape-Portland	benl1235
lgk	167.4985	-16.19856	Papua	Neverver	ling1265
lgh	103.92852	22.26738	Eurasia	Laghuu	lagh1245
lgi	115.90976	3.69641	Papua	Lengilu	leng1260
lgn	33.852955	8.475265	Africa	Opo	opuu1239
lgl	160.74125	-8.81936	Papua	Wala	wala1266
lgm	28.26206	-3.39007	Africa	Lega-Mwenga	lega1250
lgb	158.96112	-8.00509	Papua	Laghu	lagh1246
lga	156.57264	-8.17469	Papua	Lungga	lung1249
lgg	30.86417	3.02245	Africa	Lugbara	lugb1240
NOCODE_Tarairiu	-37.509155	-5.5471	South America	Tarairiu	tara1303
lgz	22.49359	2.86168	Africa	Ligenza	lige1238
NOCODE_Demushbo	-70.873718	-4.837565	South America	Demushbo	demu1235
lgr	160.42011	-9.56425	Papua	Lengo	leng1259
lgq	0.43068	6.92838	Africa	Ikpana	logb1245
lgt	142.29906	-3.79935	Papua	Pahi	pahi1246
lgu	160.66328	-9.75258	Papua	Longgu	long1395
NOCODE_Tembey			South America	Tembey	temb1278
cvn	-96.31873	17.79638	North America	Valle Nacional Chinantec	vall1253
tsp	-4.88274	11.13303	Africa	Northern Toussian	nort2787
cvg	92.18383	27.7686	Eurasia	Duhumbi	chug1252
rbb	97.317245	23.640405	Eurasia	Rumai Palaung	ruma1248
NOCODE_Quepos			North America	Quepos	quep1238
NOCODE_Zhongu	103.44179	32.43582	Eurasia	Zhongu	zhon1235
zgr	149.26034	-10.23207	Papua	Magori	mago1248
NOCODE_Dorasque	-82.375717	8.567442	North America	Dorasque	dora1242
zgm	105.5	23.33	Eurasia	Minz Zhuang	minz1236
zgn	107.18368	23.68182	Eurasia	Guibian Zhuang	guib1244
zga	34.23208	-9.35868	Africa	Kinga	nucl1379
zgb	107.18368	23.68182	Eurasia	Guibei Zhuang	guib1245
phk	95.81309	27.81965	Eurasia	Phake	phak1238
phh	106.147725	25.52774	Eurasia	Phukha	phuk1235
pho	100.95699	20.799585	Eurasia	Phunoi	phun1245
phn			Africa	Phoenician	phoe1239
phm	33.35136	-15.8364	Africa	Phimbi	phim1238
phl	71.84211	35.50956	Eurasia	Palula	phal1254
pha	105.165125	22.80489	Eurasia	Pa-Hng	pahn1237
phg	107.4674	16.21184	Eurasia	Phuong	phuo1238
phd	73.36836	18.71534	Eurasia	Phudagi	phud1238
phr	73.80708	33.6424	Eurasia	Pahari Potwari	paha1251
phq	101.9775	21.93872	Eurasia	Phana'	phan1254
phw	87.35371	27.15945	Eurasia	Phangduwali	phan1256
phv	62.19785	31.32675	Eurasia	Pahlavani	pahl1240
phu	102.19119	17.520725	Eurasia	Phuan	phua1239
pht	104.684233333	17.7544966667	Eurasia	Phu Thai	phut1244
ofo	-91.75	30.43	North America	Ofo	ofoo1242
yog	121.71773	16.70149	Papua	Yogad	yoga1237
unn			Australia	Ganai	gana1278
ofu	8.35425	5.92431	Africa	Efutop	efut1242
xed	13.68811	10.94202	Africa	Hdi	hdii1240
xeg	30.402831	-26.340684	Africa	//Xegwi	xegw1238
xeb			Eurasia	Eblaite	ebla1238
xel	34.3816	10.92914	Africa	Kelo	kelo1246
xem	110.4678	0.66181	Papua	Mateq	kemb1249
xet	-52.22659	-24.94082	South America	Xeta	xeta1241
xeu	145.41549	-7.63603	Papua	Keoru-Ahia	keor1235
xer	-48.26292	-9.59426	South America	Xerente	xere1240
xes	145.5796	-5.76797	Papua	Kesawai	kesa1244
NOCODE_Lenca-Salvador	-88.114014	13.560562	North America	Lenca-Salvador	lenc1243
wec	-8.40234	6.36463	Africa	We Western	wewe1238
wea	96.540526	19.020577	Eurasia	Wewaw	wewa1238
wed	150.17188	-10.12464	Papua	Wedau	weda1241
wei	142.44711	-8.42194	Papua	Were	were1244
weh	10.12104	6.46164	Africa	Weh	wehh1238
weo	128.8392	-3.05143	Papua	Wemale	nort2864
wem	2.47457	6.77227	Africa	Weme Gbe	weme1239
wes	9.80166	5.43932	Africa	Cameroon Pidgin	came1254
wer	146.91368	-7.71834	Papua	Weri	weri1253
wep	7.499	51.459	Eurasia	Westphalic	west2356
wew	119.34902	-9.55099	Papua	Wewewa	weje1237
weu	98.3197	27.04569	Eurasia	Welaung	wela1234
wet	126.57638	-7.62349	Papua	Perai	pera1257
