language	glottocode	iso
'Are'are	area1240	alu
'Auhelawa	auhe1237	kud
//Ani	anii1246	hnh
A'ou	aoua1234	aou
A-Pucikwar	apuc1241	apq
Aari	aari1239	aiw
Aariya	aari1240	aay
Aasax	aasa1238	aas
Abadi	abad1241	kbt
Abaga	abag1245	abg
Abai Sungai	abai1240	abf
Abai Tubu-Abai Sembuak	abai1241	NA
Abanyom	aban1242	abm
Abau	abau1245	aau
Abaza	abaz1241	abq
Abenlen Ayta	aben1249	abp
Abidji	abid1235	abi
Abinomn	abin1243	bsa
Abipon	abip1241	axb
Abkhazian	abkh1244	abk
Abom	abom1238	aob
Abon	abon1238	abo
Abron	abro1238	abr
Abu	abuu1241	ado
Abu' Arapesh	abua1245	aah
Abua	abua1244	abn
Abui	abui1241	abz
Abun	abun1252	kgr
Abure	abur1243	abu
Abureni	abur1244	mgj
Abe	abee1242	aba
Acatepec Me'phaa	acat1239	tpx
Achagua	acha1250	aca
Ache	ache1244	yif
Acheron	ache1245	acz
Achi	achi1256	acr
Achi', Cubulco	achi1258	acc
Achinese	achi1257	ace
Achterhoeks	acht1238	act
Achuar-Shiwiar	achu1248	acu
Achumawi	achu1247	acv
Ache	ache1246	guq
Acoli	acol1236	ach
Acroa	acro1239	acs
Adabe	adab1235	adb
Adai	adai1235	xad
Adamawa Fulfulde	adam1253	fub
Adamorobe Sign Language	adam1238	ads
Adang	adan1251	adn
Adangbe	adan1248	adq
Adangme	adan1247	ada
Adap	adap1234	adp
Adasen	adas1235	tiu
Adele	adel1244	ade
Adhari	adha1238	NA
Adhola	adho1243	adh
Adioukrou	adio1239	adj
Adiwasi Garasia	adiw1235	gas
Adnyamathanha	adny1235	adt
Adonara	adon1237	adr
Aduge	adug1238	adu
Adurgari	adur1234	NA
Adyghe	adyg1241	ady
Adzera (Retired)	adze1241	azr
Adzera	adze1240	adz
Aeka	aeka1244	aez
Aekyom	aeky1238	awi
Aer	aerr1238	aeq
Aewa	abis1238	ash
Afade	afad1236	aal
Afar	afar1241	aar
Afghan Sign Language	afgh1239	afg
Afghanistan Gorbat	afgh1240	NA
Afitti	afit1238	aft
Afrikaans	afri1274	afr
Afro-Seminole Creole	afro1254	afs
Afudu	afud1235	NA
Agarabi	agar1252	agd
Agariya	agar1251	agi
Agatu	agat1236	agc
Agavotaguerra	agav1236	avo
Agbirigba	agbi1234	NA
Aghem	aghe1239	agq
Aghu Tharnggalu (Retired)	aghu1256	gtu
Aghu Tharnggalu	aghu1254	ggr
Aghu	aghu1255	ahh
Aghul	aghu1253	agx
Aghwan	aghw1237	xag
Agi	agii1245	aif
Agob	agob1244	kit
Agoi	agoi1246	ibm
Agta-Pahanan	agta1234	apf
Aguacateco	agua1252	agu
Aguano	agua1251	aga
Aguaruna	agua1253	agr
Aguna	agun1238	aug
Agusan Manobo	agus1235	msm
Agutaynen	agut1237	agn
Agwagwune	agwa1247	yay
Ahanta	ahan1243	aha
Ahe	ahea1240	ahe
Ahin-Kayapa Kalanguya	ahin1234	kak
Ahirani	ahir1243	ahr
Ahom	ahom1240	aho
Ahtena	ahte1237	aht
Ai-Cham	aich1238	aih
Aighon	aigh1235	aix
Aikana	aika1237	tba
Aiklep	aikl1237	mwg
Aiku	aiku1240	mzf
Aimaq	aima1241	aiq
Aimele	aime1238	ail
Aimol	aimo1244	aim
Ainbai	ainb1238	aic
Ainu (China)	ainu1251	aib
Aiome	aiom1240	aki
Airoran	airo1242	air
Aisi	musa1266	mmq
Aiton	aito1238	aio
Aja (Benin)	ajab1235	ajg
Aja (Sudan)	ajas1235	aja
Ajawa	ajaw1236	ajw
Ajia	ajie1238	aji
Ajumbu	mbuu1238	muc
Ajyininka Apurucayali	ajyi1238	cpc
Ak	akkk1240	akq
Aka	akaa1242	soh
Aka-Bea	akab1249	abj
Aka-Bo	akab1248	akm
Aka-Cari	akac1240	aci
Aka-Jeru	akaj1239	akj
Aka-Kede	akak1252	akx
Aka-Kol	akak1253	aky
Aka-Kora	akak1251	ack
Akan	akan1250	aka
Akar-Bale	akar1243	acl
Akaselem	akas1242	aks
Akateko	west2635	knj
Akawaio	akaw1239	ake
Ake	akee1238	aik
Akebu	akeb1238	keu
Akei	akei1237	tsr
Akeu	akeu1235	aeu
Akha	akha1245	ahk
Akhvakh	akhv1239	akv
Akie	mosi1247	mwy
Akkadian	akka1240	akk
Akkala Sami	akka1237	sia
Aklanon	akla1241	akl
Akolet	akol1237	akt
Akoose	akoo1248	bss
Akoye	akoy1238	miw
Akpa	akpa1238	akf
Akpes	akpe1248	ibe
Akpondu	akpo1243	NA
Akuku	akuk1235	ayk
Akum	akum1238	aku
Akuntsu	akun1241	aqz
Akurio	akur1238	ako
Akwa	akwa1248	akw
Al-Sayyid Bedouin Sign Language	alsa1242	syy
Alaba-K'abeena	alab1254	alw
Alabama	alab1237	akz
Alabat Island Agta	alab1246	dul
Alacalufe-Austral	alac1239	NA
Alacalufe-Central	alac1240	NA
Alacatlatzala Mixtec	alac1244	mim
Alago	alag1242	ala
Alaguilac	alag1249	NA
Alagwa	alag1248	wbj
Alak	alak1253	alk
Alamblak	alam1246	amp
Alangan	alan1249	alj
Alapmunte	alap1235	apv
Alawa	alaw1244	alh
Albanian Sign Language	alba1271	sqk
Alcozauca Mixtec	alco1235	xta
Ale	wail1242	wlr
Alege	aleg1238	alf
Alekano	alek1238	gah
Aleut	aleu1260	ale
Algerian Arabic	alge1239	arq
Algerian Saharan Arabic	alge1240	aao
Algerian Sign Language	alge1235	asp
Algonquin	algo1255	alq
Ali	alii1240	aiy
Alipur Sign Language	alip1234	NA
Alladian	alla1248	ald
Allar	alla1247	all
Allentiac	alle1238	NA
Alngith	alng1239	aid
Alo Phola	alop1235	ypo
Alorese	alor1247	aol
Aloapam Zapotec	aloa1235	zaq
Alsea-Yaquina	alse1251	aes
Alu Kurumba	aluk1238	xua
Alu-Sinagen	diaa1238	dia
Alugu	alug1235	aub
Alumu-Tesu	alum1246	aab
Alune	alun1238	alp
Aluo	aluo1235	yna
Alur	alur1250	alz
Alutor	alut1245	alr
Alviri-Vidari	alvi1241	avd
Alyawarr	alya1239	aly
Ama (Papua New Guinea)	amap1240	amm
Ama (Sudan)	amas1236	nyi
Amahai	amah1245	amq
Amahuaca	amah1246	amc
Amaimon	amai1246	ali
Amal	amal1242	aad
Amam	amam1246	NA
Amami O Shima Sign Language	amam1247	NA
Amanab	aman1265	amn
Amanaye	aman1266	ama
Amapa Creole	amap1241	amd
Amara	amar1272	aie
Amarakaeri	amar1274	amr
Amarasi	amar1273	aaz
Amatlan Zapotec	amat1238	zpo
Amba (Solomon Islands)	amba1266	utp
Amba (Uganda)	amba1263	rwm
Ambai	amba1265	amk
Ambakich	amba1269	aew
Ambala Ayta	amba1267	abc
Ambelau	ambe1248	amv
Ambele	ambe1247	ael
Ambermo	ambe1246	NA
Amblong	ambl1237	alm
Ambo	ambo1249	amb
Ambo-Pasco Quechua	ambo1252	qva
Ambonese Malay	ambo1250	abs
Ambrak	ambr1239	aag
Ambulas	ambu1247	abt
Amdang	amda1238	amj
Amdo Tibetan	amdo1237	adx
Amele	amel1241	aey
Amerax	amer1256	aex
American Indian Pidgin English	amer1255	NA
American Sign Language	amer1248	ase
Amganad Ifugao	amga1235	ifa
Amharic	amha1245	amh
Ami	amii1238	amy
Amikoana	amik1238	akn
Amis	amis1246	ami
Amkoe	hoaa1235	huc
Ammonite	ammo1234	qgg
Amo	amoo1242	amo
Amoltepec Mixtec	amol1236	mbz
Amorite	amor1239	NA
Amotomanco	amot1239	NA
Ampanang	ampa1239	apg
Ampari Dogon	ampa1238	aqd
Amri Karbi	amri1238	ajz
Amto	amto1250	amt
Amundava	amun1246	adw
Amurdak	amar1271	amg
Ana Tinga Dogon	anat1248	dti
Anaang	anaa1238	anw
Anakalangu	anak1240	akg
Anal	anal1239	anm
Anam	anam1247	pda
Anambe	anam1249	aan
Anamuxra	anam1248	imi
Anasi	anas1239	bpo
Anauya	anau1243	NA
Ancient Greek	anci1242	grc
Ancient Hebrew	anci1244	hbo
Ancient Ligurian	anci1248	NA
Ancient North Arabian	anci1245	xna
Andai	anda1283	afd
Andalusian Arabic	anda1287	xaa
Andaman Creole Hindi	anda1280	hca
Andaqui	anda1286	ana
Andarum	anda1284	aod
Andegerebinha	ande1247	adg
Andh	andh1242	anr
Andi	andi1255	ani
Andio	andi1257	bzb
Andoa	ando1255	anb
Andoque	ando1256	ano
Andoquero	ando1254	NA
Andra-Hus	andr1248	anx
Andro	andr1246	NA
Aneityum	anei1239	aty
Anem	anem1249	anz
Aneme Wake	anem1248	aby
Anfillo	anfi1235	myo
Angaataha	anga1290	agm
Angaite	anga1316	aqt
Angal Enen	anga1294	aoe
Angal Heneng	anga1292	akh
Angal	anga1293	age
Angami Naga Sign Language	anga1315	NA
Angami Naga	anga1288	njm
Anggamuthi	angg1238	NA
Angguruk Yali	angg1239	yli
Angika	angi1238	anp
Angloromani	angl1239	rme
Angolar	ango1258	aoa
Angor	ango1254	agg
Angoram	ango1255	aog
Angosturas Tunebo	ango1257	tnd
Anguthimri	angu1242	awg
Ani Phowa	anip1235	ypn
Anii	anii1245	blo
Animere	anim1239	anf
Anindilyakwa	anin1240	aoi
Anjam	anja1238	boj
Ankave	anka1246	aak
Anmatyerre	anma1239	amx
Annobonese	fada1250	fab
Anor	anor1241	anj
Anserma	anse1238	ans
Ansus	ansu1237	and
Antakarinya	anta1253	ant
Antankarana Malagasy	anta1255	xmv
Antigua and Barbuda Creole English	anti1245	aig
Antioquian	anti1242	NA
Anu	anuu1241	anl
Anuak	anua1242	anu
Anufo	anuf1239	cko
Anuki	anuk1239	aui
Anus	anus1237	auq
Anuta	anut1237	aud
